sample_name,fastq1,fastq2,tech
sample_1_c30_MPOX,sample_1_c30_MPOX_1.fastq.gz,sample_1_c30_MPOX_2.fastq.gz,illumina
sample_2_c30_MPOX,sample_2_c30_MPOX_1.fastq.gz,sample_2_c30_MPOX_2.fastq.gz,illumina
sample_3_c30_MPOX,sample_3_c30_MPOX_1.fastq.gz,sample_3_c30_MPOX_2.fastq.gz,illumina
sample_4_c30_MPOX,sample_4_c30_MPOX_1.fastq.gz,sample_4_c30_MPOX_2.fastq.gz,illumina
sample_5_c30_MPOX,sample_5_c30_MPOX_1.fastq.gz,sample_5_c30_MPOX_2.fastq.gz,illumina
sample_6_c30_MPOX,sample_6_c30_MPOX_1.fastq.gz,sample_6_c30_MPOX_2.fastq.gz,illumina
sample_7_c30_MPOX,sample_7_c30_MPOX_1.fastq.gz,sample_7_c30_MPOX_2.fastq.gz,illumina
sample_8_c30_MPOX,sample_8_c30_MPOX_1.fastq.gz,sample_8_c30_MPOX_2.fastq.gz,illumina
sample_9_c30_MPOX,sample_9_c30_MPOX_1.fastq.gz,sample_9_c30_MPOX_2.fastq.gz,illumina
sample_10_c30_MPOX,sample_10_c30_MPOX_1.fastq.gz,sample_10_c30_MPOX_2.fastq.gz,illumina
sample_11_c30_MPOX,sample_11_c30_MPOX_1.fastq.gz,sample_11_c30_MPOX_2.fastq.gz,illumina
sample_12_c30_MPOX,sample_12_c30_MPOX_1.fastq.gz,sample_12_c30_MPOX_2.fastq.gz,illumina
sample_13_c30_MPOX,sample_13_c30_MPOX_1.fastq.gz,sample_13_c30_MPOX_2.fastq.gz,illumina
sample_14_c30_MPOX,sample_14_c30_MPOX_1.fastq.gz,sample_14_c30_MPOX_2.fastq.gz,illumina
sample_15_c30_MPOX,sample_15_c30_MPOX_1.fastq.gz,sample_15_c30_MPOX_2.fastq.gz,illumina
sample_16_c30_MPOX,sample_16_c30_MPOX_1.fastq.gz,sample_16_c30_MPOX_2.fastq.gz,illumina
sample_17_c30_MPOX,sample_17_c30_MPOX_1.fastq.gz,sample_17_c30_MPOX_2.fastq.gz,illumina
sample_18_c30_MPOX,sample_18_c30_MPOX_1.fastq.gz,sample_18_c30_MPOX_2.fastq.gz,illumina
sample_19_c30_MPOX,sample_19_c30_MPOX_1.fastq.gz,sample_19_c30_MPOX_2.fastq.gz,illumina
sample_20_c30_MPOX,sample_20_c30_MPOX_1.fastq.gz,sample_20_c30_MPOX_2.fastq.gz,illumina
sample_21_c30_MPOX,sample_21_c30_MPOX_1.fastq.gz,sample_21_c30_MPOX_2.fastq.gz,illumina
sample_22_c30_MPOX,sample_22_c30_MPOX_1.fastq.gz,sample_22_c30_MPOX_2.fastq.gz,illumina
sample_23_c30_MPOX,sample_23_c30_MPOX_1.fastq.gz,sample_23_c30_MPOX_2.fastq.gz,illumina
sample_24_c30_MPOX,sample_24_c30_MPOX_1.fastq.gz,sample_24_c30_MPOX_2.fastq.gz,illumina
sample_25_c30_MPOX,sample_25_c30_MPOX_1.fastq.gz,sample_25_c30_MPOX_2.fastq.gz,illumina
sample_26_c30_MPOX,sample_26_c30_MPOX_1.fastq.gz,sample_26_c30_MPOX_2.fastq.gz,illumina
sample_27_c30_MPOX,sample_27_c30_MPOX_1.fastq.gz,sample_27_c30_MPOX_2.fastq.gz,illumina
sample_28_c30_MPOX,sample_28_c30_MPOX_1.fastq.gz,sample_28_c30_MPOX_2.fastq.gz,illumina
sample_29_c30_MPOX,sample_29_c30_MPOX_1.fastq.gz,sample_29_c30_MPOX_2.fastq.gz,illumina
sample_30_c30_MPOX,sample_30_c30_MPOX_1.fastq.gz,sample_30_c30_MPOX_2.fastq.gz,illumina
